team_id,year,seed,team,team_med,team_short,logo_url,logo_name,conf,wins,losses,win_percent,record,berth,rpi,reb_mar,scr_mar,turnover,twitter
1,2014,16,Albany,Albany,Albany,http://content.sportslogos.net/logos/30/818/full/6xphr3em,albany.png,American East,18,14,56.2,18-14,Auto,211,3.2,2.0,12.7,@UAlbanySports
2,2014,15,American,American,American,http://content.sportslogos.net/logos/30/601/full/c6bcevlq,american.png,Patriot League,20,12,62.5,20-12,Auto,120,1.0,5.3,14.0,@AUeagles
3,2014,1,Arizona,Arizona,Arizona,http://content.sportslogos.net/logos/30/603/full/2416.png,arizona.png,Pac-12,30,4,88.2,30-4,At-Large,1,8.3,15.3,10.5,@AZATHLETICS
4,2014,10,Arizona State,Arizona St.,ASU,http://content.sportslogos.net/logos/30/604/full/9059_ari,asu.png,Pac-12,21,11,65.6,21-11,At-Large,38,-2.5,6.2,11.5,@SunDevilHoops
5,2014,6,Baylor,Baylor,Baylor,http://content.sportslogos.net/logos/30/613/full/7369.png,baylor.png,Big 12,24,11,68.5,24-11,At-Large,36,7.5,7.0,12.1,@BaylorMBB
6,2014,10,BYU,BYU,BYU,http://content.sportslogos.net/logos/30/622/full/t2k7w98w,byu.png,West Coast,23,11,67.6,23-11,At-Large,31,5.4,7.2,11.4,@byubasketball
7,2014,16,Cal Poly,Cal Poly,Cal Poly,http://content.sportslogos.net/logos/30/626/full/0rm8n36c,calpoly.png,Big West,13,19,38.2,13-19,Auto,208,-0.9,-0.4,9.1,@CPMustangs
8,2014,5,Cincinnati,Cincinnati,Cincy,http://content.sportslogos.net/logos/30/642/full/7482.png,cincy.png,AAC,27,6,81.8,27-6,At-Large,14,4.5,10.8,11.2,@GoBEARCATS
9,2014,16,Coastal Carolina,CCU,CCU,http://content.sportslogos.net/logos/30/645/full/2453.png,ccu.png,Big South,21,12,63.6,21-12,Auto,200,4.9,4.3,14.1,@GoCCUsports
10,2014,8,Colorado,Colorado,Coloardo,http://content.sportslogos.net/logos/30/647/full/7489.png,colorado.png,Pac-12,23,11,67.6,23-11,At-Large,32,6.9,3.6,13.3,@CUBuffsMBB
11,2014,7,Connecticut,UConn,UConn,http://content.sportslogos.net/logos/35/884/full/9122_uco,uconn.png,AAC,26,8,76.4,26-8,At-Large,28,0.7,9.5,11.5,@UConnMBB
12,2014,3,Creighton,Creighton,Creighton,http://content.sportslogos.net/logos/30/652/full/2796_cre,creighton.png,Big East,26,7,78.7,26-7,Auto,7,3.0,12.9,10.0,@BluejayMBB
13,2014,11,Dayton,Dayton,Dayton,http://content.sportslogos.net/logos/31/655/full/6867.gif,dayton.png,Atlantic 10,23,10,69.6,23-10,At-Large,39,4.3,6.0,12.2,@DaytonMBB
14,2014,13,Delaware,Delaware,Delaware,http://content.sportslogos.net/logos/31/657/full/8shlr22s,delaware.png,CAA,25,9,73.5,25-9,Auto,70,-2.4,4.4,9.6,@UDBlueHens
15,2014,3,Duke,Duke,Duke,http://content.sportslogos.net/logos/31/663/full/2469.gif,duke.png,ACC,26,8,76.4,26-8,At-Large,8,1.9,12.7,9.8,@Duke_MBB
16,2014,15,Eastern Kentucky,E. Kentucky,EKU,http://content.sportslogos.net/logos/31/668/full/sf4fgm5x,eku.png,Ohio Valley,24,9,72.7,24-9,Auto,102,-6.1,8.4,10.7,@EKUSports
